Id,Rol,Víctima,Sexo,Edad,Días_de_muerte_post_accidente,No_víctimas,Fecha,Hora,Tipo_de_calle,Calle,Comuna,X,Y,Acusado,Cruce_o_altura
2016-0001,Conductor,Moto,Masculino,19,0.0,1.0,2016-01-01 00:00:00,4,Avenida,Piedra Buena Av.,8.0,-58.47533969,-34.68757022,Auto,Cruce
2016-0002,Conductor,Auto,Masculino,70,0.0,1.0,2016-01-02 00:00:00,1,Autopista,"Paz, Gral. Av.",9.0,-58.50877521,-34.66977709,Pasajeros,Cruce
2016-0003,Conductor,Moto,Masculino,30,0.0,1.0,2016-01-03 00:00:00,7,Avenida,entre Rios Av.,1.0,-58.39040293,-34.63189362,Auto,Altura
2016-0004,Conductor,Moto,Masculino,18,,1.0,2016-01-10 00:00:00,0,Avenida,Larrazabal Av.,8.0,-58.46503904,-34.68092974,,Cruce
2016-0005,Conductor,Moto,Masculino,29,11.0,1.0,2016-01-21 00:00:00,5,Avenida,San Juan Av.,1.0,-58.38718297,-34.62246630,Pasajeros,Cruce
2016-0008,Conductor,Moto,Masculino,30,0.0,1.0,2016-01-24 00:00:00,18,Avenida,27 de Febrero Av.,8.0,-58.44451316,-34.68475866,Objeto Fijo,Cruce
2016-0009,Pasajero_acompañante,Moto,Masculino,29,2.0,1.0,2016-01-24 00:00:00,19,Calle,Nogoya,11.0,-58.50095869,-34.60825440,Auto,Cruce
2016-0010,Conductor,Moto,Masculino,18,0.0,1.0,2016-01-29 00:00:00,15,Autopista,"Paz, Gral. Av.",9.0,-58.50877521,-34.66977709,Auto,Cruce
2016-0012,Conductor,Moto,Masculino,22,0.0,1.0,2016-02-08 00:00:00,1,Avenida,Belgrano Av.,1.0,-58.38048577,-34.61303893,Cargas,Cruce
2016-0013,Peaton,Peaton,Masculino,16,0.0,1.0,2016-02-10 00:00:00,11,Avenida,entre Rios Av.,1.0,-58.39114932,-34.62477387,Auto,Altura
2016-0015,Peaton,Peaton,Femenino,16,0.0,1.0,2016-02-14 00:00:00,5,Avenida,"Scalabrini Ortiz, Raul Av.",15.0,-58.43760020,-34.59912758,Auto,Cruce
2016-0016,Pasajero_acompañante,Moto,Femenino,19,0.0,1.0,2016-02-14 00:00:00,22,Avenida,Regimiento de Patricios Av.,4.0,-58.36882665,-34.64291993,Auto,Cruce
2016-0017,Peaton,Peaton,Masculino,59,1.0,1.0,2016-02-15 00:00:00,16,Avenida,"Acosta, Mariano",8.0,-58.44989671,-34.65970435,Moto,Cruce
2016-0019,Peaton,Peaton,Femenino,65,0.0,1.0,2016-02-17 00:00:00,9,Calle,"de la Torre, Lisandro",9.0,-58.50990884,-34.65468721,Pasajeros,Cruce
2016-0020,Peaton,Peaton,Masculino,59,14.0,1.0,2016-02-17 00:00:00,16,Calle,Suipacha,1.0,-58.37952223,-34.60653282,Auto,Altura
2016-0021,Conductor,Auto,Masculino,34,0.0,1.0,2016-02-17 00:00:00,23,Avenida,Directorio Av.,7.0,-58.45157703,-34.63063795,Auto,Cruce
2016-0022,Pasajero_acompañante,Moto,Masculino,41,,1.0,2016-02-21 00:00:00,6,Avenida,9 de Julio Av.,1.0,-58.38144696,-34.61079875,Auto,Cruce
2016-0025,Pasajero_acompañante,Auto,Masculino,34,0.0,1.0,2016-02-28 00:00:00,4,Autopista,"Paz, Gral. Av.",8.0,-58.46244952,-34.70524971,Auto,Cruce
2016-0026,Conductor,Auto,Masculino,30,5.0,1.0,2016-02-28 00:00:00,7,Calle,Holmberg,12.0,-58.49216191,-34.54738649,Objeto Fijo,Cruce
2016-0027,Pasajero_acompañante,Auto,Masculino,34,,1.0,2016-02-28 00:00:00,9,Avenida,Curapaligue Av.,7.0,-58.44497874,-34.63852623,Auto,Cruce
2016-0028,Peaton,Peaton,Masculino,50,0.0,1.0,2016-03-02 00:00:00,10,Avenida,Viamonte,1.0,-58.38199706,-34.60028648,Cargas,Cruce
2016-0029,Peaton,Peaton,Masculino,38,0.0,1.0,2016-03-04 00:00:00,17,Avenida,Cabildo Av.,12.0,-58.47378664,-34.54153077,Pasajeros,Cruce
2016-0031,Conductor,Moto,Masculino,21,,1.0,2016-03-08 00:00:00,12,Autopista,"Paz, Gral. Av.",8.0,-58.47064556,-34.69843756,Pasajeros,Cruce
2016-0034,Peaton,Peaton,Masculino,52,0.0,1.0,2016-03-12 00:00:00,12,Avenida,"Alcorta, Amancio Av.",4.0,-58.40623949,-34.65076549,Pasajeros,Cruce
2016-0035,Conductor,Moto,Masculino,34,0.0,1.0,2016-03-13 00:00:00,6,Avenida,Corrientes Av.,3.0,-58.39228965,-34.60443527,Pasajeros,Cruce
2016-0036,Pasajero_acompañante,Moto,Masculino,36,0.0,1.0,2016-03-14 00:00:00,0,Calle,Herrera,4.0,-58.37813396,-34.63668504,Pasajeros,Cruce
2016-0037,Conductor,Moto,Masculino,20,0.0,1.0,2016-03-19 00:00:00,11,Avenida,Lafuente Av.,7.0,-58.46275892,-34.64358293,Moto,Cruce
2016-0038,Peaton,Peaton,Masculino,29,0.0,1.0,2016-03-21 00:00:00,8,Autopista,"Paz, Gral. Av.",8.0,-58.49683458,-34.67892743,Pasajeros,Cruce
2016-0039,Conductor,Moto,Masculino,20,0.0,1.0,2016-03-23 00:00:00,1,Avenida,"Mitre, Bartolome",3.0,-58.40603217,-34.60883960,Pasajeros,Cruce
2016-0041,Conductor,Moto,Masculino,54,0.0,2.0,2016-03-29 00:00:00,11,Avenida,Directorio Av.,7.0,-58.46076550,-34.63350444,Cargas,Cruce
2016-0041,Pasajero_acompañante,Moto,Masculino,,1.0,2.0,2016-03-29 00:00:00,11,Avenida,Directorio Av.,7.0,-58.46076550,-34.63350444,Cargas,Cruce
2016-0043,Peaton,Peaton,Femenino,56,0.0,1.0,2016-03-30 00:00:00,18,Avenida,"Dellepiane, Luis, Tte. Gral.",8.0,-58.47832463,-34.67494416,Cargas,Cruce
2016-0044,Conductor,Moto,Masculino,24,0.0,1.0,2016-03-31 00:00:00,19,Avenida,"Moreno, Jose Maria Av.",7.0,-58.43213235,-34.63693953,Multiple,Cruce
2016-0045,Conductor,Moto,Masculino,,,1.0,2016-04-11 00:00:00,10,Autopista,"Paz, Gral. Av.",13.0,-58.46743471,-34.53476874,,Cruce
2016-0047,Peaton,Peaton,Masculino,41,0.0,1.0,2016-04-15 00:00:00,5,Calle,Lima,1.0,-58.38247061,-34.62571878,Pasajeros,Altura
2016-0048,Peaton,Peaton,Femenino,,,1.0,2016-04-15 00:00:00,17,Avenida,Corrientes Av.,15.0,-58.44759966,-34.59170240,Pasajeros,Cruce
2016-0049,,,,,,1.0,2016-04-17 00:00:00,0,Autopista,Autopista 1 Sur Presidente Arturo Frondizi,4.0,-58.37714647568196,-34.63657525428238,,
2016-0050,Peaton,Peaton,Masculino,78,0.0,1.0,2016-04-19 00:00:00,9,Avenida,"Gordillo, Timoteo",8.0,-58.47305463,-34.68550712,Pasajeros,Cruce
2016-0051,Conductor,Moto,Masculino,36,0.0,1.0,2016-04-20 00:00:00,4,Avenida,"Alcorta, Amancio Av.",4.0,-58.40623949,-34.65076549,Cargas,Cruce
2016-0052,,Moto,,,,1.0,2016-04-20 00:00:00,20,Autopista,"Lugones, Leopoldo Av.",13.0,-58.46388888888889,-34.55361111111111,,
2016-0053,Peaton,Peaton,Masculino,38,0.0,1.0,2016-04-22 00:00:00,9,Avenida,Triunvirato Av.,12.0,-58.48429180,-34.57558053,Pasajeros,Cruce
2016-0054,Conductor,Moto,Masculino,30,2.0,1.0,2016-04-23 00:00:00,21,Autopista,Autopista Dellepiane Luis Tte. Gral.,8.0,-58.48695354,-34.68795245,Moto,Cruce
2016-0055,Peaton,Peaton,Masculino,79,3.0,1.0,2016-04-25 00:00:00,20,Avenida,"Castilla, Ramon, Mariscal",14.0,-58.40021959,-34.57964781,Cargas,Cruce
2016-0056,Conductor,Moto,Masculino,26,0.0,1.0,2016-04-26 00:00:00,4,Avenida,"Campos, Luis M. Av.",14.0,-58.42957885,-34.57660058,Objeto Fijo,Altura
2016-0058,Peaton,Peaton,Femenino,57,4.0,1.0,2016-05-04 00:00:00,14,Calle,Lima,1.0,-58.38247542,-34.62556293,Moto,Altura
2016-0059,Peaton,Peaton,Masculino,37,18.0,1.0,2016-05-08 00:00:00,16,Calle,Ciudadela,1.0,-58.38222219,-34.62728101,Pasajeros,Cruce
2016-0064,Peaton,Peaton,Masculino,20,,1.0,2016-05-14 00:00:00,18,Avenida,"Justo, Juan B. Av.",10.0,-58.49485242,-34.62953445,Pasajeros,Cruce
2016-0065,Peaton,Peaton,Masculino,20,0.0,1.0,2016-05-20 00:00:00,14,Avenida,Gaona Av.,6.0,-58.45227946,-34.61068024,Auto,Cruce
2016-0067,Pasajero_acompañante,Moto,Femenino,30,,1.0,2016-05-21 00:00:00,17,Avenida,"de la Torre, Lisandro",8.0,-58.48455411,-34.67512760,Pasajeros,Cruce
2016-0068,Conductor,Moto,Masculino,58,,1.0,2016-05-22 00:00:00,22,Avenida,"Figueroa Alcorta, Pres. Av.",2.0,-58.39056593,-34.58418569,Pasajeros,Cruce
2016-0069,Conductor,Auto,Masculino,30,0.0,1.0,2016-05-23 00:00:00,3,Avenida,entre Rios Av.,3.0,-58.39118948,-34.62704273,Cargas,Cruce
2016-0073,Conductor,Moto,Masculino,23,,1.0,2016-06-11 00:00:00,15,Calle,"Magari?os Cervantes, A.",10.0,-58.49021952,-34.62025108,Cargas,Altura
2016-0074,Conductor,Auto,Masculino,60,,1.0,2016-06-12 00:00:00,6,Autopista,"Paz, Gral. Av.",8.0,-58.49896559,-34.67732118,Auto,Cruce
2016-0075,Peaton,Peaton,Masculino,42,0.0,1.0,2016-06-12 00:00:00,23,Autopista,Autopista Dellepiane Luis Tte. Gral.,8.0,-58.47461076,-34.66874679,Auto,Cruce
2016-0076,Peaton,Peaton,Femenino,53,0.0,1.0,2016-06-13 00:00:00,16,Avenida,San Martin Av.,15.0,-58.46210891,-34.60356211,Pasajeros,Cruce
2016-0077,Peaton,Peaton,Femenino,,,1.0,2016-06-13 00:00:00,21,Avenida,"Peron, Juan Domingo, Tte. General",1.0,-58.37027770,-34.60536123,Pasajeros,Cruce
