Id hecho,Vehículo_víctima,Sexo,Edad_víctima,Gravedad
LC-2019-0000053,Sd,M,57,Sd
LC-2019-0000063,Sd,SD,SD,Sd
LC-2019-0000079,Sd,M,SD,Sd
LC-2019-0000082,Sd,M,45,Sd
LC-2019-0000082,Sd,F,45,Sd
LC-2019-0000082,Sd,M,27,Sd
LC-2019-0000082,Sd,F,32,Sd
LC-2019-0000136,Sd,M,21,Sd
LC-2019-0000136,Sd,F,21,Sd
LC-2019-0000142,Sd,M,37,Sd
LC-2019-0000179,Sd,SD,SD,Sd
LC-2019-0000194,Sd,F,33,Sd
LC-2019-0000202,Sd,M,25,Sd
LC-2019-0000329,Sd,M,23,Sd
LC-2019-0000347,Sd,M,SD,Sd
LC-2019-0000445,Sd,M,42,Sd
LC-2019-0000445,Sd,F,42,Sd
LC-2019-0000445,Sd,M,37,Sd
LC-2019-0000493,Sd,M,53,Sd
LC-2019-0000600,Sd,F,1,Sd
LC-2019-0000636,Sd,F,62,Sd
LC-2019-0000647,Sd,M,SD,Sd
LC-2019-0000686,Sd,F,67,Sd
LC-2019-0005235,Sd,F,75,Sd
LC-2019-0000928,Sd,F,40,Sd
LC-2019-0000963,Sd,F,48,Sd
LC-2019-0000963,Sd,M,48,Sd
LC-2019-0000963,Sd,F,27,Sd
LC-2019-0000963,Sd,F,3,Sd
LC-2019-0000963,Sd,F,33,Sd
LC-2019-0001754,Sd,F,49,Sd
LC-2019-0001879,Sd,SD,SD,Sd
LC-2019-0001948,Sd,M,SD,Sd
LC-2019-0547054,Sd,M,25,Sd
LC-2019-0001992,Sd,M,34,Sd
LC-2019-0002083,Sd,M,27,Sd
LC-2019-0002208,Sd,M,34,Sd
LC-2019-0002218,Sd,M,52,Sd
LC-2019-0002740,Sd,M,44,Sd
LC-2019-0003220,Sd,F,28,Sd
LC-2019-0003220,Sd,M,28,Sd
LC-2019-0003340,Sd,SD,SD,Sd
LC-2019-0005610,Sd,M,59,Sd
LC-2019-0020183,Sd,M,50,Sd
LC-2019-0022496,Sd,M,73,Sd
LC-2019-0003428,Sd,M,45,Sd
LC-2019-0816662,Sd,M,26,Sd
LC-2019-0025711,Sd,M,32,Sd
LC-2019-0003642,Sd,M,51,Sd
LC-2019-0003787,Sd,M,48,Sd
LC-2019-0003862,Sd,F,37,Sd
LC-2019-0003862,Sd,M,37,Sd
LC-2019-0003884,Sd,F,SD,Sd
LC-2019-0004144,Sd,M,16,Sd
LC-2019-0004229,Sd,F,43,Sd
LC-2019-0004442,Sd,F,38,Sd
LC-2019-0004442,Sd,M,38,Sd
LC-2019-0004565,Sd,F,SD,Sd
LC-2019-0004621,Sd,M,SD,Sd
LC-2019-0004622,Sd,F,SD,Sd
LC-2019-0004652,Sd,M,28,Sd
LC-2019-0004717,Sd,M,45,Sd
LC-2019-0004718,Sd,M,51,Sd
LC-2019-0005334,Sd,M,33,Sd
LC-2019-0005614,Sd,M,43,Sd
LC-2019-0005622,Sd,F,64,Sd
LC-2019-0005638,Sd,M,36,Sd
